06.06.2025                                                                                                    Dynamic List Display                                                                                                                                                             1


	/BIC/MD_RS	OBJVERS	CHANGED	/BIC/MD_RS_NK	/BIC/MD_PH	/BIC/MD_RS_TP	/BIC/MD_RS_EN	/BIC/MD_RS_OF	/BIC/MD_RS_FY	/BIC/MD_RS_LY	/BIC/MD_RS_PL	/BIC/MD_AD	/BIC/MD_RS_AS	/BIC/MD_RS_BN	/BIC/MD_RS_PT	/BIC/MD_RS_PA	/BIC/MD_RS_AR	/BIC/MD_RS_YO
	      0397	A		AW00000397	928-555-0117	VALUE ADDED RESELLER	           3	S	         2005	         2006	MOUNTAIN	765 DELRIDGE WAY SW	     300.000	PRIMARY BANK & RESERVE	           00	           0	      30.000	         1985
	      0398	A		AW00000398	383-555-0155	SPECIALTY BIKE SHOP	          39	A	         2006	         2008	ROAD	4781 HIGHWAY 95	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1978
	      0399	A		AW00000399	588-555-0128	WAREHOUSE	          89	Q	         2007	         2008	TOURING	9500B E. CENTRAL TEXAS EXPRESSWAY	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         1984
	      0400	A		AW00000400	632-555-0171	VALUE ADDED RESELLER	           2	S	         2007	         2008	TOURING	1200 FIRST AVE.	     300.000	INTERNATIONAL BANK	           03	         600	      30.000	         1977
	      0401	A		AW00000401	883-555-0177	SPECIALTY BIKE SHOP	          38	A	         2005	         2008	MOUNTAIN	BELZ FACTORY OUTLET	   1.500.000	INTERNATIONAL SECURITY	           00	           0	     150.000	         1983
	      0402	A		AW00000402	640-555-0198	WAREHOUSE	          90	Q	         0000	         0000	MOUNTAIN	CAMARILLO ATHLETIC STORES	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         1976
	      0403	A		AW00000403	996-555-0196	VALUE ADDED RESELLER	           4	S	         2005	         2007	ROAD	LAKE ELISNOR PLACE	     300.000	UNITED SECURITY	           02	           0	      30.000	         1982
	      0404	A		AW00000404	717-555-0131	SPECIALTY BIKE SHOP	          37	A	         2006	         2008	ROAD	FACTORY STORES OF AMERICA	   1.500.000	PRIMARY BANK & RESERVE	           03	         600	     150.000	         1975
	      0405	A		AW00000405	813-555-0173	WAREHOUSE	          91	Q	         0000	         0000	ROAD	FORT HENRY MALL	   3.000.000	GUARDIAN BANK	           03	       1.000	     300.000	         1981
	      0406	A		AW00000406	570-555-0199	VALUE ADDED RESELLER	           6	S	         2006	         2007	ROAD	BUREAU 9900 825, AVENUE QUERBES	     300.000	RESERVE SECURITY	           02	           0	      30.000	         1974
	      0407	A		AW00000407	665-555-0198	SPECIALTY BIKE SHOP	          36	A	         2007	         2008	TOURING	700 BUREAU ROAD	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1980
	      0408	A		AW00000408	519-555-0151	WAREHOUSE	          92	Q	         2007	         2008	TOURING	253711 MAYFIELD PLACE, UNIT 150	   3.000.000	INTERNATIONAL SECURITY	           00	           0	     300.000	         1991
	      0409	A		AW00000409	1 (11) 500 555-0123	VALUE ADDED RESELLER	           8	S	         0000	         0000	MOUNTAIN	18, RUE DE L'ESPLANADE	     300.000	PRIMARY INTERNATIONAL	           01	           0	      30.000	         1979
	      0410	A		AW00000410	1 (11) 500 555-0139	SPECIALTY BIKE SHOP	          35	A	         2007	         2008	TOURING	CONESWEG 49	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1992
	      0411	A		AW00000411	1 (11) 500 555-0142	WAREHOUSE	          93	Q	         2007	         2008	MOUNTAIN	258 BERRY STREET	   3.000.000	PRIMARY BANK & RESERVE	           03	         600	     300.000	         1978
	      0412	A		AW00000412	1 (11) 500 555-0181	VALUE ADDED RESELLER	          10	S	         2006	         2008	ROAD	UNIT 99A BATTERY RETAIL PK	     800.000	GUARDIAN BANK	           00	           0	      80.000	         1974
	      0413	A		AW00000413	752-555-0115	SPECIALTY BIKE SHOP	          34	A	         0000	         0000	MOUNTAIN	WOODBURY COMMONS	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1976
	      0414	A		AW00000414	727-555-0190	WAREHOUSE	          94	Q	         2006	         2008	MOUNTAIN	INDIANA FACTORY SHOPS	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         1978
	      0415	A		AW00000415	708-555-0169	VALUE ADDED RESELLER	          12	S	         0000	         0000	TOURING	4210 E SPRAGUE AVE	     800.000	INTERNATIONAL SECURITY	           03	         600	      80.000	         1980
	      0416	A		AW00000416	134-555-0182	SPECIALTY BIKE SHOP	          33	A	         0000	         0000	MOUNTAIN	VALLEY MALL	   1.500.000	PRIMARY INTERNATIONAL	           03	         600	     150.000	         1982
	      0417	A		AW00000417	273-555-0181	WAREHOUSE	          95	Q	         2005	         2007	ROAD	7760 N. PAN AM EXPWY	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         1984
	      0418	A		AW00000418	223-555-0184	VALUE ADDED RESELLER	          14	S	         2005	         2008	ROAD	99433 S. GREENBAY RD.	     800.000	PRIMARY BANK & RESERVE	           01	           0	      80.000	         1986
	      0419	A		AW00000419	816-555-0118	SPECIALTY BIKE SHOP	          32	A	         0000	         0000	TOURING	NORWALK SQUARE	   1.500.000	GUARDIAN BANK	           00	           0	     150.000	         1988
	      0420	A		AW00000420	429-555-0145	WAREHOUSE	          96	Q	         2007	         2008	TOURING	RIVERSIDE	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         1990
	      0421	A		AW00000421	448-555-0179	VALUE ADDED RESELLER	          16	S	         2007	         2008	MOUNTAIN	THE QUAD @ WESTVIEW	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1992
	      0422	A		AW00000422	762-555-0110	SPECIALTY BIKE SHOP	          31	A	         2005	         2008	MOUNTAIN	CAROLINA FACTORY SHOPS	   1.500.000	INTERNATIONAL SECURITY	           03	         600	     150.000	         1994
	      0423	A		AW00000423	334-555-0146	WAREHOUSE	          97	Q	         2005	         2007	ROAD	EDGEWATER MALL	   3.000.000	PRIMARY INTERNATIONAL	           00	           0	     300.000	         1996
	      0424	A		AW00000424	371-555-0143	VALUE ADDED RESELLER	          18	S	         2006	         2008	MOUNTAIN	63 WEST BEAVER CREEK	     800.000	UNITED SECURITY	           01	           0	      80.000	         1998
	      0425	A		AW00000425	910-555-0116	SPECIALTY BIKE SHOP	          30	A	         2006	         2008	MOUNTAIN	9900 RONSON DRIVE	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         2000
	      0426	A		AW00000426	817-555-0114	WAREHOUSE	          98	Q	         2006	         2008	ROAD	251 INDELL LANE	   3.000.000	GUARDIAN BANK	           03	         600	     300.000	         2002
	      0427	A		AW00000427	1 (11) 500 555-0122	VALUE ADDED RESELLER	          20	S	         2007	         2007	ROAD	7551, AVENUE FOCH	   1.000.000	RESERVE SECURITY	           03	         200	     100.000	         2004
	      0428	A		AW00000428	1 (11) 500 555-0112	SPECIALTY BIKE SHOP	          29	A	         2007	         2008	TOURING	KR?NERWEG 9249	   1.000.000	INTERNATIONAL BANK	           02	           0	     100.000	         2005
	      0429	A		AW00000429	1 (11) 500 555-0183	WAREHOUSE	          99	Q	         2007	         2008	TOURING	85 EGERTON STREET	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         2003
	      0430	A		AW00000430	1 (11) 500 555-0118	VALUE ADDED RESELLER	          19	S	         2006	         2008	ROAD	ELLESFIELD AVE	     800.000	PRIMARY INTERNATIONAL	           00	           0	      80.000	         2004
	      0431	A		AW00000431	583-555-0130	SPECIALTY BIKE SHOP	          28	A	         2005	         2008	ROAD	HORIZON OUTLET CENTER	   1.000.000	UNITED SECURITY	           01	           0	     100.000	         1975
	      0432	A		AW00000432	186-555-0135	WAREHOUSE	         100	Q	         2005	         2008	ROAD	WASHINGTON SQUARE II	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         2003
	      0433	A		AW00000433	827-555-0143	VALUE ADDED RESELLER	          18	S	         2005	         2008	ROAD	S SOUND CTR SUITE 25300	     800.000	GUARDIAN BANK	           03	         600	      80.000	         1979
	      0434	A		AW00000434	234-555-0112	SPECIALTY BIKE SHOP	          27	A	         2006	         2006	MOUNTAIN	SOUTHGATE MALL	   1.000.000	RESERVE SECURITY	           00	           0	     100.000	         2002
	      0435	A		AW00000435	847-555-0151	WAREHOUSE	          66	Q	         2006	         2008	MOUNTAIN	25220 AIRLINE ROAD	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         1983
	      0436	A		AW00000436	145-555-0152	VALUE ADDED RESELLER	          17	S	         2006	         2008	ROAD	25306 HARVEY RD.	     800.000	INTERNATIONAL SECURITY	           02	           0	      80.000	         2001
	      0437	A		AW00000437	148-555-0149	VALUE ADDED RESELLER	           2	S	         2006	         2008	MOUNTAIN	ARCADIA CROSSING	     300.000	PRIMARY INTERNATIONAL	           03	         600	      30.000	         1974
	      0438	A		AW00000438	121-555-0157	SPECIALTY BIKE SHOP	          10	A	         2005	         2008	ROAD	EASTERN BELTWAY CENTER	     800.000	UNITED SECURITY	           03	         600	      80.000	         1976
	      0439	A		AW00000439	425-555-0158	WAREHOUSE	          40	Q	         2005	         2006	MOUNTAIN	FACTORY STORES/TUCSON	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1978
	      0440	A		AW00000440	315-555-0166	VALUE ADDED RESELLER	           5	S	         2006	         2008	MOUNTAIN	HIGHLAND LAKES SHOPPING CTR.	     300.000	GUARDIAN BANK	           01	           0	      30.000	         1980
	      0441	A		AW00000441	500-555-0134	SPECIALTY BIKE SHOP	          13	A	         2007	         2008	ROAD	GRAND CENTRAL PLACE	     800.000	RESERVE SECURITY	           00	           0	      80.000	         1982
	      0442	A		AW00000442	185-555-0190	WAREHOUSE	          43	Q	         2005	         2008	MOUNTAIN	2573 DUFFERIN STREET	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1984
	      0443	A		AW00000443	476-555-0184	VALUE ADDED RESELLER	           8	S	         2007	         2008	TOURING	995 CRESCENT	     300.000	INTERNATIONAL SECURITY	           02	           0	      30.000	         1986
	      0444	A		AW00000444	396-555-0187	SPECIALTY BIKE SHOP	          16	A	         2006	         2008	MOUNTAIN	2500-622 5TH AVE SW	     800.000	PRIMARY INTERNATIONAL	           03	         600	      80.000	         1988
	      0445	A		AW00000445	1 (11) 500 555-0130	WAREHOUSE	          46	Q	         2007	         2008	MOUNTAIN	22, RUE LAFAYETTE	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1990
	      0446	A		AW00000446	1 (11) 500 555-0115	VALUE ADDED RESELLER	          11	S	         2007	         2008	TOURING	AUF DER STEIGE 1000	     800.000	PRIMARY BANK & RESERVE	           01	           0	      80.000	         1992
	      0447	A		AW00000447	1 (11) 500 555-0113	SPECIALTY BIKE SHOP	          19	A	         0000	         0000	ROAD	PO BOX 25484	     800.000	GUARDIAN BANK	           02	           0	      80.000	         1994
	      0448	A		AW00000448	1 (11) 500 555-0176	WAREHOUSE	          49	Q	         2007	         2008	TOURING	WARRINGTON LDC UNIT 25/2	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1996
	      0449	A		AW00000449	881-555-0139	VALUE ADDED RESELLER	          14	S	         2006	         2008	MOUNTAIN	REGENCY HILLTOP SHOPPING CNTR	     800.000	INTERNATIONAL BANK	           03	         200	      80.000	         1998
	      0450	A		AW00000450	115-555-0170	SPECIALTY BIKE SHOP	          22	A	         0000	         0000	TOURING	AMES PLAZA	   1.000.000	INTERNATIONAL SECURITY	           02	           0	     100.000	         2000
	      0451	A		AW00000451	691-555-0149	WAREHOUSE	          52	Q	         2007	         2008	TOURING	MEDFORD	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         2002
	      0452	A		AW00000452	398-555-0167	VALUE ADDED RESELLER	          17	S	         0000	         0000	TOURING	HERITAGE MALL	     800.000	UNITED SECURITY	           00	           0	      80.000	         2004
	      0453	A		AW00000453	672-555-0112	SPECIALTY BIKE SHOP	          25	A	         2005	         2006	MOUNTAIN	3900 S. 997TH ST.	   1.000.000	PRIMARY BANK & RESERVE	           01	           0	     100.000	         2005
	      0454	A		AW00000454	834-555-0132	WAREHOUSE	          55	Q	         2007	         2008	TOURING	44025 W. EMPIRE	   3.000.000	GUARDIAN BANK	           02	           0	     300.000	         2003
	      0455	A		AW00000455	740-555-0159	VALUE ADDED RESELLER	          20	S	         0000	         0000	MOUNTAIN	VIEJAS OUTLET CENTER	   1.000.000	RESERVE SECURITY	           03	         600	     100.000	         2004
	      0456	A		AW00000456	912-555-0149	SPECIALTY BIKE SHOP	          28	A	         2006	         2006	ROAD	WEST PARK PLAZA	   1.000.000	INTERNATIONAL BANK	           00	           0	     100.000	         1975
	      0457	A		AW00000457	962-555-0112	WAREHOUSE	          58	Q	         2006	         2007	MOUNTAIN	FACTORY STORES OF AMERICA	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         2003
	      0458	A		AW00000458	317-555-0163	VALUE ADDED RESELLER	          19	S	         2005	         2008	ROAD	SILVER SANDS FACTORY OUTLET	     800.000	PRIMARY INTERNATIONAL	           02	           0	      80.000	         1979
	      0459	A		AW00000459	653-555-0170	SPECIALTY BIKE SHOP	          31	A	         2007	         2007	ROAD	WEST GEORGIA COMMONS	   1.500.000	UNITED SECURITY	           03	         600	     150.000	         2002
	      0460	A		AW00000460	753-555-0179	WAREHOUSE	          61	Q	         2005	         2008	ROAD	6700 BOUL TASCHEREAU	   3.000.000	PRIMARY BANK & RESERVE	           03	       1.000	     300.000	         1983
	      0461	A		AW00000461	907-555-0170	VALUE ADDED RESELLER	          18	S	         2006	         2007	ROAD	55 STANDISH COURT	     800.000	GUARDIAN BANK	           02	           0	      80.000	         2001
	      0462	A		AW00000462	962-555-0175	SPECIALTY BIKE SHOP	          34	A	         2007	         2008	MOUNTAIN	43251 VIKING WAY, UNIT 130	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1987
	      0463	A		AW00000463	1 (11) 500 555-0123	WAREHOUSE	          64	Q	         0000	         0000	ROAD	215, AVENUE REILLE	   3.000.000	INTERNATIONAL BANK	           00	           0	     300.000	         2000
	      0464	A		AW00000464	1 (11) 500 555-0147	VALUE ADDED RESELLER	          17	S	         2007	         2008	TOURING	WALLSTR 244	     800.000	INTERNATIONAL SECURITY	           01	           0	      80.000	         1991
	      0465	A		AW00000465	1 (11) 500 555-0137	SPECIALTY BIKE SHOP	          37	A	         0000	         0000	TOURING	ORWITH CENTER	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1999
	      0466	A		AW00000466	1 (11) 500 555-0136	WAREHOUSE	          67	Q	         2007	         2008	TOURING	6 THE FARM, LIBERTY ROAD	   3.000.000	UNITED SECURITY	           03	         600	     300.000	         1995
	      0467	A		AW00000467	505-555-0145	VALUE ADDED RESELLER	          16	S	         2007	         2007	MOUNTAIN	THE CORNER SHOPPING CENTER	     800.000	PRIMARY BANK & RESERVE	           00	           0	      80.000	         1998
	      0468	A		AW00000468	492-555-0146	SPECIALTY BIKE SHOP	          40	A	         2006	         2008	ROAD	HORIZON OUTLET CENTER	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1999
	      0469	A		AW00000469	554-555-0124	WAREHOUSE	          70	Q	         2005	         2006	MOUNTAIN	LEWIS COUNTY MALL	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         1997
	      0470	A		AW00000470	328-555-0192	VALUE ADDED RESELLER	          15	S	         2007	         2008	MOUNTAIN	755 COLUMBIA CTR BLVD	     800.000	INTERNATIONAL BANK	           03	         600	      80.000	         2003
	      0471	A		AW00000471	596-555-0153	SPECIALTY BIKE SHOP	          43	A	         2005	         2008	ROAD	23025 S.W. MILITARY RD.	   1.500.000	INTERNATIONAL SECURITY	           03	         600	     150.000	         1996
	      0472	A		AW00000472	252-555-0127	WAREHOUSE	          73	Q	         2006	         2007	MOUNTAIN	RING PLAZA	   3.000.000	PRIMARY INTERNATIONAL	           02	           0	     300.000	         2002
	      0473	A		AW00000473	731-555-0187	VALUE ADDED RESELLER	          14	S	         2005	         2008	ROAD	PRIME OUTLETS	     800.000	UNITED SECURITY	           01	           0	      80.000	         1995
	      0474	A		AW00000474	777-555-0163	SPECIALTY BIKE SHOP	          46	A	         2006	         2006	MOUNTAIN	BAYSHORE MALL	   1.500.000	PRIMARY BANK & RESERVE	           00	           0	     150.000	         2001
	      0475	A		AW00000475	581-555-0172	WAREHOUSE	          76	Q	         2006	         2008	MOUNTAIN	7709 WEST VIRGINIA AVENUE	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         1994
	      0476	A		AW00000476	165-555-0172	VALUE ADDED RESELLER	          13	S	         2006	         2008	MOUNTAIN	PEACHTREE MALL	     800.000	RESERVE SECURITY	           02	           0	      80.000	         2000
	      0477	A		AW00000477	991-555-0148	SPECIALTY BIKE SHOP	          49	A	         2007	         2008	TOURING	UNIVERSITY PLAZA	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         1993
	      0478	A		AW00000478	512-555-0122	WAREHOUSE	          79	Q	         2005	         2008	ROAD	46990 VIKING WAY	   3.000.000	INTERNATIONAL SECURITY	           00	           0	     300.000	         1999
	      0479	A		AW00000479	765-555-0141	VALUE ADDED RESELLER	          12	S	         2006	         2008	ROAD	9693 LOUIS H LAFONTAINE	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         1992
	      0480	A		AW00000480	994-555-0194	SPECIALTY BIKE SHOP	          48	A	         2005	         2008	ROAD	69251 CREDITVIEW ROAD	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1998
	      0481	A		AW00000481	1 (11) 500 555-0149	WAREHOUSE	          80	Q	         2006	         2008	ROAD	54, AVENUE DES TERNES	   3.000.000	PRIMARY BANK & RESERVE	           03	         600	     300.000	         1991
	      0482	A		AW00000482	1 (11) 500 555-0186	VALUE ADDED RESELLER	          11	S	         2007	         2008	ROAD	RO?STR 9938	     800.000	GUARDIAN BANK	           03	         200	      80.000	         1997
	      0483	A		AW00000483	1 (11) 500 555-0123	SPECIALTY BIKE SHOP	          47	A	         2007	         2008	TOURING	LEVEL 7	   1.500.000	RESERVE SECURITY	           02	           0	     150.000	         1990
	      0484	A		AW00000484	1 (11) 500 555-0199	WAREHOUSE	          81	Q	         2006	         2007	MOUNTAIN	725A THE ARCHES	   3.000.000	INTERNATIONAL BANK	           00	           0	     300.000	         1996
	      0485	A		AW00000485	107-555-0138	VALUE ADDED RESELLER	          10	S	         2005	         2006	MOUNTAIN	LEESBURG PREMIUM OUTLET CENTRE	     800.000	INTERNATIONAL SECURITY	           00	           0	      80.000	         1989
	      0486	A		AW00000486	721-555-0163	SPECIALTY BIKE SHOP	          46	A	         2005	         2006	ROAD	TREE PLAZA	   1.500.000	PRIMARY INTERNATIONAL	           01	           0	     150.000	         1995
	      0487	A		AW00000487	924-555-0195	WAREHOUSE	          82	Q	         2006	         2007	MOUNTAIN	LANCASTER MALL	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         1988
	      0488	A		AW00000488	959-555-0151	VALUE ADDED RESELLER	           9	S	         2006	         2007	MOUNTAIN	LEWISTON MALL	     300.000	PRIMARY BANK & RESERVE	           03	         600	      30.000	         1994
	      0489	A		AW00000489	191-555-0198	SPECIALTY BIKE SHOP	          45	A	         2006	         2008	MOUNTAIN	LAKELINE MALL	   1.500.000	GUARDIAN BANK	           00	           0	     150.000	         1987
	      0490	A		AW00000490	306-555-0112	WAREHOUSE	          83	Q	         2006	         2008	MOUNTAIN	TOWN EAST CENTER	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         1993
	      0491	A		AW00000491	991-555-0183	VALUE ADDED RESELLER	           8	S	         2005	         2008	ROAD	6900 SISK ROAD	     300.000	INTERNATIONAL BANK	           02	           0	      30.000	         1986
	      0492	A		AW00000492	768-555-0125	SPECIALTY BIKE SHOP	          44	A	         2005	         2008	MOUNTAIN	3250 BALDWIN PARK BLVD	   1.500.000	INTERNATIONAL SECURITY	           03	         600	     150.000	         1992
	      0493	A		AW00000493	323-555-0113	WAREHOUSE	          84	Q	         2006	         2008	ROAD	5867 SUNRISE BOULEVARD	   3.000.000	PRIMARY INTERNATIONAL	           03	       1.000	     300.000	         1985
	      0494	A		AW00000494	197-555-0143	VALUE ADDED RESELLER	           7	S	         2006	         2008	MOUNTAIN	FLAGLER PARK PLAZA	     300.000	UNITED SECURITY	           02	           0	      30.000	         1991
	      0495	A		AW00000495	395-555-0128	SPECIALTY BIKE SHOP	          43	A	         2005	         2007	ROAD	MARKET SQUARE SHOPPING CENTER	   1.500.000	PRIMARY BANK & RESERVE	           01	           0	     150.000	         1984
	      0496	A		AW00000496	613-555-0116	WAREHOUSE	          85	Q	         2006	         2008	MOUNTAIN	251420A 170TH STREET	   3.000.000	GUARDIAN BANK	           00	           0	     300.000	         1990
	      0497	A		AW00000497	727-555-0115	VALUE ADDED RESELLER	           6	S	         2006	         2008	MOUNTAIN	252851 ROWAN PLACE	     300.000	RESERVE SECURITY	           01	           0	      30.000	         1983
	      0498	A		AW00000498	272-555-0123	SPECIALTY BIKE SHOP	          42	A	         2005	         2006	MOUNTAIN	5990 AVEBURY ROAD	   1.500.000	INTERNATIONAL BANK	           02	           0	     150.000	         1989
	      0499	A		AW00000499	1 (11) 500 555-0122	WAREHOUSE	          86	Q	         2006	         2008	ROAD	510, AVENUE DE VILLIERS	   3.000.000	INTERNATIONAL SECURITY	           03	         600	     300.000	         1982
	      0500	A		AW00000500	1 (11) 500 555-0150	VALUE ADDED RESELLER	           5	S	         0000	         0000	MOUNTAIN	PAPPELALLEE 19	     300.000	PRIMARY INTERNATIONAL	           00	           0	      30.000	         1988
	      0501	A		AW00000501	1 (11) 500 555-0119	SPECIALTY BIKE SHOP	          41	A	         2008	         2008	TOURING	254A JAMES STREET BOTANY	   1.500.000	UNITED SECURITY	           01	           0	     150.000	         1981
	      0502	A		AW00000502	1 (11) 500 555-0177	WAREHOUSE	          87	Q	         2006	         2008	MOUNTAIN	PARAMOUNT HOUSE	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         1987
	      0503	A		AW00000503	440-555-0166	VALUE ADDED RESELLER	           4	S	         2005	         2008	ROAD	GRANITE STATE MARKETPLACE	     300.000	GUARDIAN BANK	           03	         600	      30.000	         1980
	      0504	A		AW00000504	264-555-0143	SPECIALTY BIKE SHOP	          40	A	         2005	         2006	MOUNTAIN	REDFORD PLAZA	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1986
	      0505	A		AW00000505	688-555-0115	WAREHOUSE	          88	Q	         2007	         2008	TOURING	THREE RIVERS MALL	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         1979
	      0506	A		AW00000506	571-555-0128	VALUE ADDED RESELLER	           3	S	         2005	         2008	MOUNTAIN	EASTRIDGE MALL	     300.000	INTERNATIONAL SECURITY	           01	           0	      30.000	         1985
	      0507	A		AW00000507	176-555-0136	SPECIALTY BIKE SHOP	          39	A	         0000	         0000	ROAD	FOUNTAINS ON THE LAKE	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         1978
	      0508	A		AW00000508	132-555-0149	WAREHOUSE	          89	Q	         0000	         0000	ROAD	SOUTHWEST OUTLET	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         1984
	      0509	A		AW00000509	678-555-0175	VALUE ADDED RESELLER	           2	S	         2007	         2008	TOURING	6500 EAST GRANT ROAD	     300.000	PRIMARY BANK & RESERVE	           02	           0	      30.000	         1977
	      0510	A		AW00000510	992-555-0111	SPECIALTY BIKE SHOP	          38	A	         2005	         2008	ROAD	3065 SANTA MARGARITA PARKWAY	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1983
	      0511	A		AW00000511	926-555-0136	WAREHOUSE	          90	Q	         2005	         2006	ROAD	9920 BRIDGEPOINTE PARKWAY	   3.000.000	RESERVE SECURITY	           00	           0	     300.000	         1976
	      0512	A		AW00000512	781-555-0199	VALUE ADDED RESELLER	           4	S	         2006	         2007	ROAD	FSA OUTLET CENTER	     300.000	INTERNATIONAL BANK	           01	           0	      30.000	         1982
	      0513	A		AW00000513	562-555-0119	SPECIALTY BIKE SHOP	          37	A	         2006	         2007	MOUNTAIN	NEWPORT SHOPPING CENTER	   1.500.000	INTERNATIONAL SECURITY	           02	           0	     150.000	         1975
	      0514	A		AW00000514	726-555-0155	WAREHOUSE	          91	Q	         2005	         2008	ROAD	254480 RIVER RD	   3.000.000	PRIMARY INTERNATIONAL	           03	         600	     300.000	         1981
	      0515	A		AW00000515	833-555-0167	VALUE ADDED RESELLER	           6	S	         0000	         0000	MOUNTAIN	SUITE #9902	     300.000	UNITED SECURITY	           03	         200	      30.000	         1974
	      0516	A		AW00000516	162-555-0174	SPECIALTY BIKE SHOP	          36	A	         2006	         2006	MOUNTAIN	5TH FLOOR, 79 PLACE D'ARMES	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1980
	      0517	A		AW00000517	1 (11) 500 555-0122	WAREHOUSE	          92	Q	         0000	         0000	ROAD	30, AVENUE DE L' UNION CENTRALE	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         1991
	      0518	A		AW00000518	1 (11) 500 555-0132	VALUE ADDED RESELLER	           8	S	         2007	         2008	ROAD	KARL LIEBKNECHT STR 399	     300.000	RESERVE SECURITY	           00	           0	      30.000	         1979
	      0519	A		AW00000519	1 (11) 500 555-0114	SPECIALTY BIKE SHOP	          35	A	         2007	         2008	TOURING	LEVEL 25	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1992
	      0520	A		AW00000520	1 (11) 500 555-0118	WAREHOUSE	          93	Q	         2007	         2008	TOURING	2524 BARLBY ROAD	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1978
	      0521	A		AW00000521	538-555-0182	VALUE ADDED RESELLER	          10	S	         2007	         2007	ROAD	WALNUT HILL PLAZA	     800.000	PRIMARY INTERNATIONAL	           03	         600	      80.000	         1974
	      0522	A		AW00000522	962-555-0139	SPECIALTY BIKE SHOP	          34	A	         2007	         2008	TOURING	CONSUMER SQUARE	   1.500.000	UNITED SECURITY	           00	           0	     150.000	         1976
	      0523	A		AW00000523	149-555-0196	WAREHOUSE	          94	Q	         2006	         2008	ROAD	5525 SOUTH HOVER ROAD	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         1978
	      0524	A		AW00000524	916-555-0171	VALUE ADDED RESELLER	          12	S	         2006	         2006	ROAD	FACTORY STORES OF AMERICA	     800.000	GUARDIAN BANK	           02	           0	      80.000	         1980
	      0525	A		AW00000525	249-555-0124	SPECIALTY BIKE SHOP	          33	A	         2005	         2006	ROAD	PEACH FESTIVAL OUTLET	   1.500.000	RESERVE SECURITY	           03	         600	     150.000	         1982
	      0526	A		AW00000526	605-555-0111	WAREHOUSE	          95	Q	         0000	         0000	ROAD	#500-75 O'CONNOR STREET	   3.000.000	INTERNATIONAL BANK	           03	       1.000	     300.000	         1984
	      0527	A		AW00000527	847-555-0184	VALUE ADDED RESELLER	          14	S	         2005	         2008	ROAD	8525 SOUTH PARKER ROAD	     800.000	INTERNATIONAL SECURITY	           02	           0	      80.000	         1986
	      0528	A		AW00000528	519-555-0112	SPECIALTY BIKE SHOP	          32	A	         2005	         2007	ROAD	7505 LAGUNA BOULEVARD	   1.500.000	PRIMARY INTERNATIONAL	           01	           0	     150.000	         1988
	      0529	A		AW00000529	669-555-0149	WAREHOUSE	          96	Q	         2006	         2008	ROAD	9909 W. VENTURA BOULEVARD	   3.000.000	UNITED SECURITY	           00	           0	     300.000	         1990
